ID,type,IMG-ID,portal_id
OKS_Pond6_19July2019,Metagenome,3300045747,OKS_WetSedge1_19_FD
OKS_WetSedge1_8July2019,Metagenome,3300045825,OKS_WetSedge1_8J_FD
TFS_WetSedge10_22June2019,Metagenome,3300046018,TFS_WetSedge10_2_2_FD
TFS_WetSedge10_9July2019,Metagenome,3300045963,TFS_WetSedge10_9_FD
OKS_WetSedge1_19June2019,Metagenome,3300045993,OKS_WetSedge1_19_2_FD
OKS_WetSedge1_19July2019,Metagenome,3300045918,OKS_Pond6_19July_FD
OKS_Pond6_8July2019,Metagenome,3300045971,OKS_Pond6_8July2_FD
OKS_Pond6_19June2019,Metagenome,3300045970,OKS_Pond6_19June_FD
OKS_BSeep2E_28June2019,Metagenome,3300045995,OKS_BSeep2E_28Ju_FD
OKS_BSeep2D_28June2019,Metagenome,3300045994,OKS_BSeep2D_28Ju_FD
OKS_BSeep2C_28June2019,Metagenome,3300045733,OKS_BSeep2C_28Ju_FD
OKS_BSeep2B_28June2019,Metagenome,3300045743,OKS_BSeep2B_28Ju_FD
OKS_BSeep2A_28June2019,Metagenome,3300045855,OKS_BSeep2A_28Ju_FD
TFS_WetSedge10_20July2019,Metagenome,3300045919,TFS_WetSedge10_2_FD
TFS_Pond3_20July2019,Metagenome,3300045974,TFS_Pond3_20July_FD
TFS_Pond3_9July2019,Metagenome,3300045973,TFS_Pond3_9July2_FD
TFS_Pond3_18June2019,Metagenome,3300045972,TFS_Pond3_18June_FD